21912	ANZA	927	FRA051:1567	ANZA
27767	AO08005	36745	HADM 276	AO08005
21913	AOTEA	931	FRA051:8232	AOTEA
25612	APACHE	13481	NSA 93-0211  NSA 93-211  WW-154	13481 13481-2011 13481-2012 13481-2013 Apache APACHE
63418	Apex	BCC1367	WB-180	
21914	APEX	933	FRA051:787  WW-320	933 APEX
21915	APEXAL	934	FRA051:1568	
21917	APOSTLE	941	FRA051:6498	APOSTLE
27870	APRILIO	37336	NSA 05-5997	37336-2011 37336-2012 37336-2013 APRILIO
21918	APU	944	K 41961  PI 203112  PI 215624	APU
63285	Aquarelle	Aquarelle	WB-038	
21919	AQUILA	946	FRA051:1569	AQUILA
21920	AQUILON	949	AQUILLON  FRA051:1570	AQUILON
21921	ARAC	953	FRA051:1571	
27627	ARAGVI	36192	K 49256  PI 427146	ARAGVI
63419	Aramier	BCC1368	WB-181	
27079	ARAMIS	33834	NSA 04-7298	33834-2011 33834-2012 33834-2013 ARAMIS
21923	ARAWA	957	FRA051:8233  PI 240081  PI 258425  PI 266861  PI 283872  WW-285	957 ARAWA
48322	ARBEL 05 MAY 2008	39361	WW-259	
21924	ARCANE	961	FRA051:1573	
21925	ARCHAMP	962	FRA051:4757	
21926	ARCHE	964	WW-321	964 ARCHE
63472	Archer	BCC1428	WB-234	
21927	ARCOLE	966	ARCOLA  ARKOLA  FD 6524  FRA051:1574	ARCOLE
27242	ARDEC	34315	FRA051:6839	ARDEC
21928	ARDENNES	968	ARDENNES DESPREZ  F.D. 732  FD 732  FRA051:1575	ARDENNES
16460	ARDENNES	9135	BCC 1349  FRA051:3871	
21929	ARDENT	971	FRA051:1576	ARDENT
26368	ARDITO	24209	WW-475	24209 ARDITO
21930	ARDUS	974	FRA051:790	ARDUS
16461	ARES	9136	FRA051:3872	
27030	AREZZO	32759	ST 20528  WW-277	32759-2011 32759-2012 32759-2013 Arezzo AREZZO
24825	ARGANDA	7846	FRA051:1577	ARGANDA
21932	ARGEE	978	CI 17606  FRA051:6324	ARGEE
21933	ARGELATO	981	FRA051:6479	ARGELATO
21934	ARGENT	983	FRA051:791  WW-322	983
24881	ARGONNE	7960	BLE DE L'ARGONNE  BLE-DE-L-ARGONNE  FRA051:1578	ARGONNE
21935	ARIANA-66	987	FRA051:6463	ARIANA-66
16637	ARIEL~INRA	10616	FRA051:4214	
21940	ARISTIDE	996	FRA051:1579	
21941	ARISTIDE-BRIAND	999	FRA051:1580	ARISTIDE-BRIAND
27859	ARISTOTE	37322	NSA 02-1422	37322-2011 37322-2012 37322-2013 ARISTOTE
21942	ARK	1000	AUS 15047  CI 15286  FRA051:6328	ARK
21944	ARKAS	1005	FRA051:1581  WW-286	1005 ARKAS
27751	ARKEOS	36693	NSA 05-0320b  NSA 05-0320 B	36693-2011 36693-2012 36693-2013 ARKEOS
26905	ARLEQUIN	29841	NSA 01-2036	29841-2011 29841-2012 29841-2013 ARLEQUIN
25803	ARLIN	20186	FRA051:8153	ARLIN
21945	ARMADA	1008	FRA051:1582	ARMADA
16638	ARMELLE	10621	CF13  CFH03177  FRA051:4216	
21946	ARMENTIERES	1011	FRA051:1583	ARMENTIERES
21947	ARMINDA	1013	FRA051:4762	ARMINDA
21948	ARMUR	1015	FRA051:1584	ARMUR
21949	ARNO	1018	FRA051:794	ARNO
25507	AROLD	13062	FRA051:4946	AROLD
21950	ARONDE	1019	FRA051:1585	ARONDE
21953	AROSO	1025	FRA051:795	AROSO
21959	ARROMANCHES	1032	FRA051:1587	1032 ARROMANCHES
63347	Arta-IPK	Arta-IPK	WB-109	
27748	ARTDECO	36690	NSA 06-2153 A	36690-2011 36690-2012 36690-2013 ARTDECO
27052	ARTHUR-71	32923	FRA051:702  PURDUE 66278-COMPOSITE	ARTHUR-71
48159	ARTICO	38997	WW-071	
27381	ARTIGAS	35915	AUS 7681  CI 9175  CItr 9175  K 27045  PI 73046	ARTIGAS
21961	ARTOIS-DESPREZ	1044	ARTOIS  F.D. 727  FD 727  FRA051:1589  WW-323	1044
21962	ARTUS	1047	FRA051:796	ARTUS
21963	ARUM	1048	FRA051:4766  NSA 86-2012	ARUM
63399	Arupo	BCC812	WB-161	
21964	ARVAL	1049	FRA051:4767	
27252	ARZ	34349	FRA051:7867	ARZ
21965	ASAKAZE KOMUGI	1051	ASAKASEKOMUGI  ASAKAZEKOMUGI  FRA051:1590  NORIN-123  SAIKAI-144  WW-029	ASAKAZE KOMUGI
27749	ASCOTT	36691	NSA 07-7065	36691-2011 36691-2012 36691-2013 ASCOTT
21966	AS-II	1052	PI 184992	AS-II
63555	Asplund	Asplund	WB-317	
21967	ASSO	1056	FRA051:1591	ASSO
63266	Asta	Asta	WB-019	
25703	ASTA	13873	FRA051:9043	ASTA
21968	ASTER	1060	FRA051:1592	ASTER
21969	ASTRAL TEZIER	1062	ASTRAL  FRA051:1593	ASTRAL TEZIER
16639	ASTRID	10627	FRA051:4217	
27672	ASTRILLANO	36237	MAC9192-8820  PI 565203	
16528	ASTRIX	9745	BCC 1321  FRA051:3977	
21970	ASTRON	1064	FRA051:703	ASTRON
25266	(ASVM4*BCP)4	8694	FRA051:1188	
63527	Athenais	BCC1548	WB-289	
63268	Athene	Athene	WB-021	
27277	ATHLON	35596	SUR 151	35596-2011 35596-2012 35596-2013 ATHLON
16640	ATHOS	10629	FRA051:4218	
21972	ATHOS	1069	FRA051:1595	ATHOS
27207	ATIR	34223	FRA051:6385  K 62195	ATIR
21973	ATLAS 66	1072	CI 12561  FRA051:1596  NC-5466	ATLAS 66
21974	ATLE	1074	FRA051:797	ATLE
21975	ATOU	1076	404  FRA051:1598  GUILLEMAN  404	ATOU
27119	ATRN99.3	33946	FRA051:41	
27081	ATTITUDE	33837	NSA 04-7113	33837-2011 33837-2012 33837-2013 ATTITUDE
26823	ATTLASS	28926	SW 99237	28926-2011 28926-2012 28926-2013 Attlass ATTLASS
21976	ATUT-II	1080	FRA051:799  WW-287	1080 ATUT-II
21977	ATYS	1081	FRA051:1599	ATYS
24049	(AU*AV)37-4	6013	FRA051:1189	
25267	(AU*AV)83	8695	FRA051:1190	
21979	AUBAINE BLANCHE	1087	FRA051:1600	
21980	AUBE	1089	AUBE DESPREZ  FRA051:1601	AUBE
21981	AUBERS	1091	FRA051:1602	AUBERS
25909	AUBUSSON	20412	VR 97 B 402	20412-2011 20412-2012 20412-2013 AUBUSSON
21982	AUCHY-CAMBIER	1092	AUCHY  AUCHY CAMBIER  FRA051:1603	AUCHY-CAMBIER
25536	AUDACE	13216	VM112	AUDACE
24845	AUGUSTA	7906	FRA051:1604	AUGUSTA
21983	AUGUSTE TEZIER	1094	FRA051:704	AUGUSTE TEZIER
63503	Auksinjai	BCC1472	WB-265	
27405	AULAKI	35939	PI 125346	AULAKI
21985	AURELE-GABY	1096	AURELS GABY  FRA051:1606	AURELE-GABY
63264	Aurelia	Aurelia	WB-017	
27104	AURIC	33886	FRA051:9044	
21987	AURORA HY 14-10	1101	FRA051:1608	AURORA HY 14-10
21988	AURORE	1110	FRA051:1616	1110 AURORE
16641	AURORE	10643	FRA051:4219	
21989	AUSTERLITZ	1111	AUSTERLIZ  FRA051:4770	AUSTERLITZ
27673	AUSTRALIANO	36238	MAC9192-8896  PI 565219	AUSTRALIANO
21990	AUSTRO BANKUT	1113	WW-324	1113 AUSTRO BANKUT
21991	AUSTRO KOLBEN	1115	FRA051:42	AUSTRO KOLBEN
25805	AUTAN	20188	NSA 95-0366	20188-2011 20188-2012 20188-2013 Autan AUTAN
21993	AUTOMNE ROUGE BARBU	1117	BLE BRUN D'HEIDENBERG  BLE D'AUTOMNE ROUGE BARBU  FRA051:1617	AUTOMNE ROUGE BARBU
